Identifier,PNL (*100%),Koef,USDProfit,Winrate,Single buy,Traded,Number of tokens traded,Buys,Sell,PnL < -0.5x %,PnL -0.5x to 0x %,PnL < 2x %,PnL 2x to 5x %,PnL > 5x %,Fast tx %,No buy hold ratio,SOL balance
4LRcbMuwmVcYohNvm7jwGXYkVYeUo4CP4PMjBCMP1mH3,0,#VALUE!,"22,540.20",69.23%,error,189,138,161,28,5.80%,0.00%,88.41%,5.80%,0.00%,0.00%,0.00%,0.152278247
EjaNCK7SW1cYR7LUi2nZdzwsghu5zUsoqe6WwWsR8PJy,0,#VALUE!,"8,849.83",88.89%,error,89,66,70,19,1.52%,1.52%,93.94%,1.52%,1.52%,0.00%,1.49%,0.261427421
FcwdLrF6t8NNfRS3wheLuB3cNUeCHn2twZ251mufD2YF,0,#VALUE!,"14,596.93",80.00%,error,192,127,149,43,5.51%,0.79%,89.76%,3.94%,0.00%,0.00%,0.00%,0.360831145
EjaNCK7SW1cYR7LUi2nZdzwsghu5zUsoqe6WwWsR8PJy,0,#VALUE!,"9,154.78",88.89%,error,91,66,72,19,1.52%,1.52%,93.94%,1.52%,1.52%,0.00%,1.49%,1.60015718
4LRcbMuwmVcYohNvm7jwGXYkVYeUo4CP4PMjBCMP1mH3,0,#VALUE!,"23,387.44",69.23%,error,192,138,163,29,5.80%,0.00%,88.41%,5.80%,0.00%,0.00%,0.00%,1.100024898
EgjToV4rS2zmm54FA2AATGtPq4tpmh4A3CEVk1U8qMuD,0,#VALUE!,"3,895.98",78.57%,error,87,69,73,14,2.90%,1.45%,95.65%,0.00%,0.00%,0.00%,0.00%,1.600113134
FcwdLrF6t8NNfRS3wheLuB3cNUeCHn2twZ251mufD2YF,0,#VALUE!,"15,431.96",80.00%,error,195,127,151,44,5.51%,0.79%,89.76%,3.94%,0.00%,0.00%,0.00%,1.100132916
HPdSTd8i92boYk6ZZnWGr2Yoe7qpLiARaQNLefuzwHhn,0,#VALUE!,"13,097.58",79.49%,error,162,106,123,39,7.55%,0.00%,88.68%,2.83%,0.94%,0.00%,0.00%,1.100040018
3ALf59Yc96VJFHGT599DXvi6gNKh2kQwcG4f7PnDH2k4,0,#VALUE!,"11,408.91",90.00%,error,143,118,110,33,1.69%,0.85%,94.92%,1.69%,0.85%,0.00%,0.00%,1.100023929
BmidzTKTzT63fhsr2BXNBwCx6tAkHv5xZdZAk24wzKsZ,0,#VALUE!,"2,566.04",77.78%,error,77,60,66,11,0.00%,3.33%,96.67%,0.00%,0.00%,0.00%,0.00%,1.100036395
CTiAdKo3d4YXwTPxxuhucSjQdhjz6x8w7Qc5MkxyF2F6,0,#VALUE!,"3,711.95",75.00%,error,76,52,66,10,0.00%,3.85%,94.23%,1.92%,0.00%,0.00%,0.00%,1.100125423
Enyu8uxiLSoSMdsgZVX8T3y4imEnKsqg2DqfF2VksDQQ,0,#VALUE!,"3,557.41",88.89%,error,76,48,64,12,0.00%,2.08%,95.83%,2.08%,0.00%,0.00%,0.00%,1.600039184
A1iTjAhx3hTFwMhYHGHsKKMaY7oBpXi5PFWca4fJZPHw,0,#VALUE!,"9,083.07",76.00%,error,130,86,101,29,5.81%,1.16%,90.70%,2.33%,0.00%,0.00%,1.15%,1.100083137
AXMY6w8rdVoupHB55vx5vDk1xoa85h2sK6PTVkC1GzEK,0,#VALUE!,"6,839.89",90.91%,error,78,60,64,14,1.67%,0.00%,96.67%,1.67%,0.00%,0.00%,0.00%,1.60012163
wWgUcyAbLY3Lbi5QwZtnEPo4kqHo8gCVFNyckeHC8fE,0,#VALUE!,"2,732.43",70.00%,error,82,57,69,13,1.75%,3.51%,94.74%,0.00%,0.00%,0.00%,0.00%,1.600021819
4LRcbMuwmVcYohNvm7jwGXYkVYeUo4CP4PMjBCMP1mH3,0,#VALUE!,"23,800.95",69.23%,error,197,138,167,30,5.80%,0.00%,88.41%,5.80%,0.00%,0.00%,0.00%,2.669268256
FcwdLrF6t8NNfRS3wheLuB3cNUeCHn2twZ251mufD2YF,0,#VALUE!,"15,793.66",80.00%,error,201,127,155,46,5.51%,0.79%,89.76%,3.94%,0.00%,0.00%,0.00%,2.590137507
